epoch,train_loss,train_err,test_err
0,2.25138521194458,0.87442,0.8721
1,2.2325682640075684,0.863,0.8615
2,1.8965938091278076,0.72158,0.7147
3,1.5663912296295166,0.64578,0.6393
4,1.5721313953399658,0.55944,0.5539
5,1.2657579183578491,0.49556,0.4767
6,1.2956427335739136,0.45108,0.4455
7,1.1830065250396729,0.36548,0.3677
8,0.8241420984268188,0.34788,0.3476
9,0.8239800333976746,0.31294,0.3248
10,0.6715487837791443,0.28098,0.2852
11,0.7935305833816528,0.2771,0.2809
12,0.5434255599975586,0.24232,0.2582
13,0.7640490531921387,0.25578,0.2576
14,0.6930323839187622,0.22974,0.2462
15,0.6369045376777649,0.24092,0.2567
16,0.680376410484314,0.22762,0.257
17,0.5648409128189087,0.18622,0.2114
18,0.36041730642318726,0.1902,0.2165
19,0.6176398992538452,0.19004,0.2155
20,0.34791263937950134,0.14884,0.1748
21,0.3803574740886688,0.1782,0.2114
22,0.2782139778137207,0.15704,0.1926
23,0.4255548417568207,0.17008,0.2008
24,0.3791772425174713,0.14306,0.1782
25,0.27733105421066284,0.15374,0.1874
26,0.5528298020362854,0.13442,0.1745
27,0.46111735701560974,0.14996,0.1992
28,0.24998657405376434,0.17186,0.2135
29,0.5233703255653381,0.15082,0.1952
30,0.46207404136657715,0.17316,0.2061
31,0.254808247089386,0.12838,0.1719
32,0.34142494201660156,0.11714,0.1664
33,0.42957544326782227,0.14216,0.1819
34,0.29550692439079285,0.1038,0.1501
35,0.15925802290439606,0.12704,0.1743
36,0.2454746663570404,0.11904,0.1697
37,0.3152197599411011,0.1391,0.182
38,0.28638848662376404,0.10844,0.1551
39,0.42293548583984375,0.09662,0.1436
40,0.2522612512111664,0.11628,0.1645
41,0.19275158643722534,0.1187,0.1678
42,0.38523656129837036,0.12552,0.166
43,0.33049827814102173,0.15798,0.2001
44,0.20376035571098328,0.13442,0.1876
45,0.27814552187919617,0.09358,0.1462
46,0.40152138471603394,0.10602,0.1591
47,0.34426867961883545,0.12076,0.1718
48,0.3651251196861267,0.09952,0.1463
49,0.16569438576698303,0.08294,0.1347
50,0.2894464135169983,0.07834,0.1296
51,0.1895534247159958,0.10992,0.1576
52,0.38061803579330444,0.1071,0.1643
